Matrix size;Schedule type;Total time;Operations time;
2050;static;0.204598;0.159592;
2050;static;0.203146;0.157303;
2050;static;0.197051;0.151640;
2050;static;0.193348;0.147953;
2050;static;0.192225;0.146795;
4098;static;0.709735;0.529407;
4098;static;0.710297;0.529761;
4098;static;0.709632;0.527306;
4098;static;0.708727;0.527503;
4098;static;0.712726;0.530799;
8194;static;2.802413;2.095700;
8194;static;2.808864;2.101380;
8194;static;2.814825;2.107788;
8194;static;2.852485;2.144393;
8194;static;2.864367;2.155618;
